Load Config : /home/mataeoh/Work/GuineaPig/Configure/Config.ini
Saved Config : /home/mataeoh/Work/GuineaPig/Configure/Config.ini

Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
main.py:4 <module>                    1      0.000355  6.732899  6.732899
..gparser.py:520 LegacyInterpolation  2      0.000103  5.324616  2.662308
..configparser.py:179 NoSectionError  2      0.520633  5.319198  2.659599
..nderer.py:184 Renderer.renderScene  375    0.021621  4.386500  0.011697
..erer.py:156 Renderer.render_meshes  375    0.041756  3.842266  0.010246
..Image.py:41 _imaging_not_installed  11101  1.174603  3.799326  0.000342
..lib._bootstrap>:966 _find_and_load  566..  0.006224  1.260555  0.002227
..strap>:939 _find_and_load_unlocked  566..  0.005119  1.259455  0.002225
..lib._bootstrap>:659 _load_unlocked  498..  0.006739  1.253659  0.002517
..>:656 SourceFileLoader.exec_module  417..  0.002339  1.251898  0.003002
..rap>:214 _call_with_frames_removed  678..  0.001378  1.250760  0.001845
..L_2_0.py:399 glVertexAttribPointer  22200  0.465573  1.039343  0.000047
..GL_2_0.py:379 glGetUniformLocation  33300  0.346219  0.932774  0.000028
.._resources/__init__.py:15 <module>  55604  0.223559  0.829589  0.000015
..rocessing/__init__.py:22 <genexpr>  40     0.001029  0.775216  0.019380
..t__.py:203 SetuptoolsLegacyVersion  55598  0.171288  0.644536  0.000012
../GL_2_0.py:388 glGetAttribLocation  22200  0.235595  0.630890  0.000028
..igparser.py:374 BasicInterpolation  2      0.000219  0.581253  0.290626
..Renderer.py:85 Renderer.initialize  1      0.000275  0.564965  0.564965
..parser.py:214 DuplicateOptionError  2      0.001231  0.501947  0.250973
..b._bootstrap>:996 _handle_fromlist  378..  0.012904  0.455098  0.000120
..kages/OpenGL/version.py:1 <module>  4      0.003854  0.436314  0.109078
..ages/pygame/pkgdata.py:18 <module>  2      0.000042  0.425557  0.212779
..neaPig/Render/Shader.py:1 <module>  375    0.019823  0.402758  0.001074
..rap>:630 _load_backward_compatible  17/1   0.000192  0.386814  0.022754
..latform/ctypesloader.py:5 <module>  55568  0.209181  0.338763  0.000006
../OpenGL/contextdata.py:44 setValue  22200  0.163764  0.334148  0.000015
..nder/Renderer.py:51 Console.render  375    0.004916  0.326028  0.000869
..hon3.5/ctypes/__init__.py:483 cast  55608  0.250237  0.250237  0.000005
..portlib._bootstrap>:879 _find_spec  538..  0.010393  0.214725  0.000399
../GL/exceptional.py:138 glCallLists  374    0.043168  0.214565  0.000574
..bootstrap_external>:1130 find_spec  535..  0.001585  0.193575  0.000362
..bootstrap_external>:1098 _get_spec  535..  0.008014  0.191995  0.000359
..processing/__init__.py:15 <module>  17     0.000074  0.188793  0.011105
..essing/context.py:269 SpawnProcess  2      0.000023  0.165247  0.082623
..n/lib/python3.5/re.py:278 _compile  262    0.001832  0.163193  0.000623
..g/context.py:291 ForkServerContext  2      0.000252  0.162592  0.081296
..thon3.5/sre_compile.py:531 compile  76     0.001204  0.160952  0.002118
..on/lib/python3.5/re.py:222 compile  80     0.000198  0.160022  0.002000
..__init__.py:1798 ContextualZipFile  179..  0.081504  0.159579  0.000009
..nit__.py:1778 MemoizedZipManifests  379    0.040645  0.138028  0.000364
..s/numpy/add_newdocs.py:10 <module>  1      0.000590  0.134068  0.134068
..b._bootstrap>:570 module_from_spec  481..  0.003020  0.131358  0.000273
..s/numpy/lib/__init__.py:1 <module>  1      0.000174  0.127270  0.127270
..urces/__init__.py:3125 _call_aside  2      0.000014  0.121349  0.060675
..140 _initialize_master_working_set  1      0.000091  0.121152  0.121152
..xternal>:1212 FileFinder.find_spec  1002   0.029267  0.108699  0.000108
..init__.py:668 WorkingSet.add_entry  26     0.000860  0.107754  0.004144
..nal>:726 SourceFileLoader.get_code  417    0.006167  0.107569  0.000258
..b/python3.5/sre_parse.py:819 parse  76     0.000901  0.106174  0.001397
..numpy/lib/type_check.py:3 <module>  1      0.000042  0.105957  0.105957
../numpy/core/__init__.py:1 <module>  1      0.000287  0.104909  0.104909
..hon3.5/sre_parse.py:429 _parse_sub  275..  0.003674  0.104022  0.000378
../python3.5/sre_parse.py:491 _parse  375..  0.031294  0.102563  0.000274
